Time	Node	Type	Packets	
1	0	CacheHits	0
1	0	CacheMisses	1
1	1	CacheHits	0
1	1	CacheMisses	1
1	2	CacheHits	0
1	2	CacheMisses	1
1	3	CacheHits	0
1	3	CacheMisses	1
1	4	CacheHits	0
1	4	CacheMisses	1
1	5	CacheHits	0
1	5	CacheMisses	1
1	6	CacheHits	0
1	6	CacheMisses	1
1	7	CacheHits	0
1	7	CacheMisses	1
1	8	CacheHits	0
1	8	CacheMisses	1
1	9	CacheHits	0
1	9	CacheMisses	1
1	10	CacheHits	0
1	10	CacheMisses	1
1	11	CacheHits	0
1	11	CacheMisses	1
1	12	CacheHits	0
1	12	CacheMisses	1
1	13	CacheHits	0
1	13	CacheMisses	1
1	14	CacheHits	0
1	14	CacheMisses	1
1	15	CacheHits	0
1	15	CacheMisses	1
1	16	CacheHits	0
1	16	CacheMisses	1
1	17	CacheHits	0
1	17	CacheMisses	1
1	18	CacheHits	0
1	18	CacheMisses	1
1	19	CacheHits	0
1	19	CacheMisses	1
1	20	CacheHits	0
1	20	CacheMisses	1
1	21	CacheHits	0
1	21	CacheMisses	1
1	22	CacheHits	0
1	22	CacheMisses	1
1	23	CacheHits	0
1	23	CacheMisses	1
1	24	CacheHits	0
1	24	CacheMisses	1
1	25	CacheHits	0
1	25	CacheMisses	1
1	26	CacheHits	0
1	26	CacheMisses	1
1	27	CacheHits	0
1	27	CacheMisses	1
1	28	CacheHits	0
1	28	CacheMisses	1
1	29	CacheHits	0
1	29	CacheMisses	1
1	30	CacheHits	0
1	30	CacheMisses	1
1	31	CacheHits	0
1	31	CacheMisses	1
1	32	CacheHits	0
1	32	CacheMisses	1
1	33	CacheHits	0
1	33	CacheMisses	1
1	34	CacheHits	0
1	34	CacheMisses	1
1	35	CacheHits	0
1	35	CacheMisses	1
1	36	CacheHits	0
1	36	CacheMisses	1
1	37	CacheHits	0
1	37	CacheMisses	1
1	38	CacheHits	0
1	38	CacheMisses	1
1	39	CacheHits	0
1	39	CacheMisses	1
1	40	CacheHits	0
1	40	CacheMisses	1
1	41	CacheHits	0
1	41	CacheMisses	1
1	42	CacheHits	0
1	42	CacheMisses	1
1	43	CacheHits	0
1	43	CacheMisses	1
1	44	CacheHits	0
1	44	CacheMisses	1
1	45	CacheHits	0
1	45	CacheMisses	1
1	46	CacheHits	0
1	46	CacheMisses	1
1	47	CacheHits	0
1	47	CacheMisses	1
1	48	CacheHits	0
1	48	CacheMisses	2
1	49	CacheHits	0
1	49	CacheMisses	1
1	50	CacheHits	0
1	50	CacheMisses	2
1	51	CacheHits	0
1	51	CacheMisses	2
1	52	CacheHits	0
1	52	CacheMisses	2
1	53	CacheHits	0
1	53	CacheMisses	2
1	54	CacheHits	0
1	54	CacheMisses	2
1	55	CacheHits	0
1	55	CacheMisses	2
1	56	CacheHits	0
1	56	CacheMisses	2
1	57	CacheHits	0
1	57	CacheMisses	1
1	58	CacheHits	0
1	58	CacheMisses	2
1	59	CacheHits	0
1	59	CacheMisses	2
1	60	CacheHits	0
1	60	CacheMisses	2
1	61	CacheHits	0
1	61	CacheMisses	2
