Time	Node	Type	Packets	
1	40	CacheHits	0
1	40	CacheMisses	0
1	41	CacheHits	0
1	41	CacheMisses	17
1	42	CacheHits	0
1	42	CacheMisses	0
1	43	CacheHits	0
1	43	CacheMisses	0
1	44	CacheHits	0
1	44	CacheMisses	0
1	45	CacheHits	0
1	45	CacheMisses	0
1	46	CacheHits	0
1	46	CacheMisses	0
1	47	CacheHits	0
1	47	CacheMisses	0
1	48	CacheHits	0
1	48	CacheMisses	0
1	49	CacheHits	0
1	49	CacheMisses	0
1	50	CacheHits	0
1	50	CacheMisses	0
1	51	CacheHits	0
1	51	CacheMisses	0
1	52	CacheHits	0
1	52	CacheMisses	0
1	53	CacheHits	0
1	53	CacheMisses	0
1	54	CacheHits	0
1	54	CacheMisses	0
1	55	CacheHits	0
1	55	CacheMisses	0
1	56	CacheHits	0
1	56	CacheMisses	0
1	57	CacheHits	0
1	57	CacheMisses	0
1	58	CacheHits	0
1	58	CacheMisses	9
1	59	CacheHits	0
1	59	CacheMisses	0
2	40	CacheHits	0
2	40	CacheMisses	0
2	41	CacheHits	11
2	41	CacheMisses	9
2	42	CacheHits	0
2	42	CacheMisses	0
2	43	CacheHits	0
2	43	CacheMisses	0
2	44	CacheHits	0
2	44	CacheMisses	0
2	45	CacheHits	0
2	45	CacheMisses	0
2	46	CacheHits	0
2	46	CacheMisses	0
2	47	CacheHits	0
2	47	CacheMisses	0
2	48	CacheHits	0
2	48	CacheMisses	0
2	49	CacheHits	0
2	49	CacheMisses	0
2	50	CacheHits	0
2	50	CacheMisses	0
2	51	CacheHits	0
2	51	CacheMisses	0
2	52	CacheHits	0
2	52	CacheMisses	0
2	53	CacheHits	0
2	53	CacheMisses	0
2	54	CacheHits	0
2	54	CacheMisses	0
2	55	CacheHits	0
2	55	CacheMisses	0
2	56	CacheHits	0
2	56	CacheMisses	0
2	57	CacheHits	0
2	57	CacheMisses	0
2	58	CacheHits	0
2	58	CacheMisses	10
2	59	CacheHits	0
2	59	CacheMisses	0
3	40	CacheHits	0
3	40	CacheMisses	0
3	41	CacheHits	5
3	41	CacheMisses	15
3	42	CacheHits	0
3	42	CacheMisses	0
3	43	CacheHits	0
3	43	CacheMisses	0
3	44	CacheHits	0
3	44	CacheMisses	0
3	45	CacheHits	0
3	45	CacheMisses	0
3	46	CacheHits	0
3	46	CacheMisses	0
3	47	CacheHits	0
3	47	CacheMisses	0
3	48	CacheHits	0
3	48	CacheMisses	0
3	49	CacheHits	0
3	49	CacheMisses	0
3	50	CacheHits	0
3	50	CacheMisses	0
3	51	CacheHits	0
3	51	CacheMisses	0
3	52	CacheHits	0
3	52	CacheMisses	0
3	53	CacheHits	0
3	53	CacheMisses	0
3	54	CacheHits	0
3	54	CacheMisses	0
3	55	CacheHits	0
3	55	CacheMisses	0
3	56	CacheHits	0
3	56	CacheMisses	0
3	57	CacheHits	0
3	57	CacheMisses	0
3	58	CacheHits	2
3	58	CacheMisses	8
3	59	CacheHits	0
3	59	CacheMisses	0
4	40	CacheHits	0
4	40	CacheMisses	4
4	41	CacheHits	10
4	41	CacheMisses	10
4	42	CacheHits	0
4	42	CacheMisses	0
4	43	CacheHits	0
4	43	CacheMisses	0
4	44	CacheHits	0
4	44	CacheMisses	0
4	45	CacheHits	0
4	45	CacheMisses	0
4	46	CacheHits	0
4	46	CacheMisses	0
4	47	CacheHits	0
4	47	CacheMisses	0
4	48	CacheHits	0
4	48	CacheMisses	0
4	49	CacheHits	0
4	49	CacheMisses	0
4	50	CacheHits	0
4	50	CacheMisses	0
4	51	CacheHits	0
4	51	CacheMisses	0
4	52	CacheHits	0
4	52	CacheMisses	0
4	53	CacheHits	0
4	53	CacheMisses	0
4	54	CacheHits	0
4	54	CacheMisses	0
4	55	CacheHits	0
4	55	CacheMisses	0
4	56	CacheHits	0
4	56	CacheMisses	0
4	57	CacheHits	0
