Time	Node	Type	Packets	
1	240	CacheHits	0
1	240	CacheMisses	8
1	241	CacheHits	1
1	241	CacheMisses	8
1	242	CacheHits	0
1	242	CacheMisses	8
1	243	CacheHits	0
1	243	CacheMisses	8
1	244	CacheHits	0
1	244	CacheMisses	8
1	245	CacheHits	0
1	245	CacheMisses	8
1	246	CacheHits	0
1	246	CacheMisses	8
1	247	CacheHits	0
1	247	CacheMisses	7
1	248	CacheHits	0
1	248	CacheMisses	6
1	249	CacheHits	0
1	249	CacheMisses	6
1	250	CacheHits	0
1	250	CacheMisses	6
1	251	CacheHits	0
1	251	CacheMisses	6
1	252	CacheHits	0
1	252	CacheMisses	6
1	253	CacheHits	0
1	253	CacheMisses	6
1	254	CacheHits	0
1	254	CacheMisses	4
1	255	CacheHits	0
1	255	CacheMisses	2
2	240	CacheHits	1
2	240	CacheMisses	7
2	241	CacheHits	1
2	241	CacheMisses	7
2	242	CacheHits	0
2	242	CacheMisses	6
2	243	CacheHits	2
2	243	CacheMisses	6
2	244	CacheHits	0
2	244	CacheMisses	6
2	245	CacheHits	3
2	245	CacheMisses	6
2	246	CacheHits	5
2	246	CacheMisses	6
2	247	CacheHits	2
2	247	CacheMisses	7
2	248	CacheHits	1
2	248	CacheMisses	8
2	249	CacheHits	2
2	249	CacheMisses	7
2	250	CacheHits	0
2	250	CacheMisses	6
2	251	CacheHits	1
2	251	CacheMisses	5
2	252	CacheHits	2
2	252	CacheMisses	4
2	253	CacheHits	3
2	253	CacheMisses	3
2	254	CacheHits	4
2	254	CacheMisses	3
2	255	CacheHits	0
2	255	CacheMisses	4
3	240	CacheHits	3
3	240	CacheMisses	4
3	241	CacheHits	2
3	241	CacheMisses	4
3	242	CacheHits	0
3	242	CacheMisses	4
3	243	CacheHits	2
3	243	CacheMisses	4
3	244	CacheHits	0
3	244	CacheMisses	4
3	245	CacheHits	2
3	245	CacheMisses	4
3	246	CacheHits	5
3	246	CacheMisses	4
3	247	CacheHits	0
3	247	CacheMisses	4
3	248	CacheHits	2
3	248	CacheMisses	4
3	249	CacheHits	0
3	249	CacheMisses	3
3	250	CacheHits	0
3	250	CacheMisses	2
3	251	CacheHits	5
3	251	CacheMisses	2
3	252	CacheHits	0
3	252	CacheMisses	3
3	253	CacheHits	2
3	253	CacheMisses	2
3	254	CacheHits	1
3	254	CacheMisses	2
3	255	CacheHits	2
3	255	CacheMisses	3
4	240	CacheHits	2
4	240	CacheMisses	1
4	241	CacheHits	4
4	241	CacheMisses	1
4	242	CacheHits	0
4	242	CacheMisses	2
