Time	Node	Type	Packets	
1	240	CacheHits	0
1	240	CacheMisses	192
1	241	CacheHits	8
1	241	CacheMisses	192
1	242	CacheHits	0
1	242	CacheMisses	192
1	243	CacheHits	5
1	243	CacheMisses	192
1	244	CacheHits	0
1	244	CacheMisses	191
1	245	CacheHits	24
1	245	CacheMisses	191
1	246	CacheHits	8
1	246	CacheMisses	80
1	247	CacheHits	2
1	247	CacheMisses	75
1	248	CacheHits	1
1	248	CacheMisses	69
1	249	CacheHits	3
1	249	CacheMisses	63
1	250	CacheHits	0
1	250	CacheMisses	51
1	251	CacheHits	1
1	251	CacheMisses	49
1	252	CacheHits	1
1	252	CacheMisses	47
1	253	CacheHits	4
1	253	CacheMisses	41
1	254	CacheHits	4
1	254	CacheMisses	25
1	255	CacheHits	0
1	255	CacheMisses	15
2	240	CacheHits	31
2	240	CacheMisses	12
2	241	CacheHits	7
2	241	CacheMisses	10
2	242	CacheHits	11
2	242	CacheMisses	10
2	243	CacheHits	4
2	243	CacheMisses	10
2	244	CacheHits	4
2	244	CacheMisses	11
2	245	CacheHits	106
2	245	CacheMisses	13
2	246	CacheHits	6
2	246	CacheMisses	95
2	247	CacheHits	13
2	247	CacheMisses	97
2	248	CacheHits	6
2	248	CacheMisses	102
2	249	CacheHits	7
2	249	CacheMisses	106
2	250	CacheHits	5
2	250	CacheMisses	113
2	251	CacheHits	2
2	251	CacheMisses	114
2	252	CacheHits	4
2	252	CacheMisses	116
2	253	CacheHits	11
2	253	CacheMisses	121
2	254	CacheHits	10
2	254	CacheMisses	127
2	255	CacheHits	14
2	255	CacheMisses	132
3	240	CacheHits	15
3	240	CacheMisses	3
3	241	CacheHits	3
3	241	CacheMisses	1
3	242	CacheHits	5
3	242	CacheMisses	1
3	243	CacheHits	10
3	243	CacheMisses	2
3	244	CacheHits	12
3	244	CacheMisses	1
3	245	CacheHits	30
3	245	CacheMisses	2
3	246	CacheHits	8
3	246	CacheMisses	13
3	247	CacheHits	8
3	247	CacheMisses	16
3	248	CacheHits	4
3	248	CacheMisses	16
3	249	CacheHits	3
3	249	CacheMisses	17
3	250	CacheHits	3
3	250	CacheMisses	19
3	251	CacheHits	6
3	251	CacheMisses	20
3	252	CacheHits	15
3	252	CacheMisses	20
3	253	CacheHits	7
3	253	CacheMisses	14
3	254	CacheHits	1
3	254	CacheMisses	18
3	255	CacheHits	6
3	255	CacheMisses	18
4	240	CacheHits	2
4	240	CacheMisses	0
4	241	CacheHits	1
4	241	CacheMisses	0
4	242	CacheHits	0
4	242	CacheMisses	0
4	243	CacheHits	1
4	243	CacheMisses	0
4	244	CacheHits	5
4	244	CacheMisses	0
4	245	CacheHits	1
4	245	CacheMisses	0
4	246	CacheHits	6
4	246	CacheMisses	1
4	247	CacheHits	1
4	247	CacheMisses	1
4	248	CacheHits	3
4	248	CacheMisses	2
4	249	CacheHits	4
4	249	CacheMisses	2
4	250	CacheHits	2
4	250	CacheMisses	2
4	251	CacheHits	6
4	251	CacheMisses	2
4	252	CacheHits	15
4	252	CacheMisses	2
4	253	CacheHits	2
4	253	CacheMisses	1
4	254	CacheHits	1
4	254	CacheMisses	0
4	255	CacheHits	4
4	255	CacheMisses	0
5	240	CacheHits	8
5	240	CacheMisses	20
5	241	CacheHits	36
5	241	CacheMisses	35
5	242	CacheHits	5
5	242	CacheMisses	27
5	243	CacheHits	11
5	243	CacheMisses	28
5	244	CacheHits	9
5	244	CacheMisses	7
5	245	CacheHits	3
5	245	CacheMisses	2
5	246	CacheHits	5
5	246	CacheMisses	12
5	247	CacheHits	2
5	247	CacheMisses	12
5	248	CacheHits	9
5	248	CacheMisses	12
5	249	CacheHits	3
5	249	CacheMisses	9
5	250	CacheHits	1
5	250	CacheMisses	12
5	251	CacheHits	3
5	251	CacheMisses	12
5	252	CacheHits	43
5	252	CacheMisses	11
5	253	CacheHits	4
5	253	CacheMisses	10
5	254	CacheHits	0
5	254	CacheMisses	10
5	255	CacheHits	31
5	255	CacheMisses	11
6	240	CacheHits	26
6	240	CacheMisses	65
6	241	CacheHits	107
