Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.158148	18	257	65	LastDelay	0.058148	58148	1	3
0.158148	18	257	65	FullDelay	0.058148	58148	1	3
0.16666	12	257	31	LastDelay	0.06666	66660	1	3
0.16666	12	257	31	FullDelay	0.06666	66660	1	3
0.258148	18	257	6	LastDelay	0.058148	58148	1	3
0.258148	18	257	6	FullDelay	0.058148	58148	1	3
0.26666	12	257	7	LastDelay	0.06666	66660	1	3
0.26666	12	257	7	FullDelay	0.06666	66660	1	3
0.358148	18	257	71	LastDelay	0.058148	58148	1	3
0.358148	18	257	71	FullDelay	0.358148	358148	2	3
0.358148	12	257	71	LastDelay	0.058148	58148	1	3
0.358148	12	257	71	FullDelay	0.358148	358148	2	3
0.458148	18	257	60	LastDelay	0.058148	58148	1	3
0.458148	18	257	60	FullDelay	0.058148	58148	1	3
0.46666	12	257	99	LastDelay	0.06666	66660	1	3
0.46666	12	257	99	FullDelay	0.06666	66660	1	3
0.558148	18	257	14	LastDelay	0.058148	58148	1	3
0.558148	18	257	14	FullDelay	0.058148	58148	1	3
0.56666	12	257	29	LastDelay	0.06666	66660	1	3
0.56666	12	257	29	FullDelay	0.06666	66660	1	3
0.658148	18	257	28	LastDelay	0.058148	58148	1	3
0.658148	18	257	28	FullDelay	0.058148	58148	1	3
0.66666	12	257	13	LastDelay	0.06666	66660	1	3
0.66666	12	257	13	FullDelay	0.06666	66660	1	3
0.758148	18	257	25	LastDelay	0.058148	58148	1	3
0.758148	18	257	25	FullDelay	0.058148	58148	1	3
0.76666	12	257	30	LastDelay	0.06666	66660	1	3
0.76666	12	257	30	FullDelay	0.06666	66660	1	3
0.858744	18	257	1	LastDelay	0.0587441	58744.1	1	3
0.858744	18	257	1	FullDelay	0.0587441	58744.1	1	3
0.867256	12	257	3	LastDelay	0.0672561	67256.1	1	3
0.867256	12	257	3	FullDelay	0.0672561	67256.1	1	3
0.95812	18	257	17	LastDelay	0.05812	58120	1	3
0.95812	18	257	17	FullDelay	0.05812	58120	1	3
0.966632	12	257	20	LastDelay	0.066632	66632	1	3
0.966632	12	257	20	FullDelay	0.066632	66632	1	3
1.00189	12	257	17	LastDelay	0.00189417	1894.17	1	3
1.00189	12	257	17	FullDelay	0.00189417	1894.17	1	3
1.05812	18	257	43	LastDelay	0.05812	58120	1	3
1.05812	18	257	43	FullDelay	0.05812	58120	1	3
1.10088	18	257	14	LastDelay	0.000880146	880.146	1	3
1.10088	18	257	14	FullDelay	0.000880146	880.146	1	3
1.1595	12	257	4	LastDelay	0.0595022	59502.2	1	3
1.1595	12	257	4	FullDelay	0.0595022	59502.2	1	3
1.20167	12	257	7	LastDelay	0.0016741	1674.1	1	3
1.20167	12	257	7	FullDelay	0.0016741	1674.1	1	3
1.25905	18	257	22	LastDelay	0.0590461	59046.1	1	3
1.25905	18	257	22	FullDelay	0.0590461	59046.1	1	3
1.30138	18	257	13	LastDelay	0.00137708	1377.09	1	3
1.30138	18	257	13	FullDelay	0.00137708	1377.09	1	3
1.30229	12	257	1	LastDelay	0.0022911	2291.1	1	3
1.30229	12	257	1	FullDelay	0.0022911	2291.1	1	3
1.40129	18	257	25	LastDelay	0.00128708	1287.09	1	3
1.40129	18	257	25	FullDelay	0.00128708	1287.09	1	3
1.40225	12	257	14	LastDelay	0.0022461	2246.1	1	3
1.40225	12	257	14	FullDelay	0.0022461	2246.1	1	3
1.5018	18	257	1	LastDelay	0.0017971	1797.1	1	3
1.5018	18	257	1	FullDelay	0.0017971	1797.1	1	3
1.55863	12	257	91	LastDelay	0.0586261	58626.1	1	3
1.55863	12	257	91	FullDelay	0.0586261	58626.1	1	3
1.65872	12	257	12	LastDelay	0.0587161	58716.1	1	3
1.65872	12	257	12	FullDelay	0.0587161	58716.1	1	3
1.66723	18	257	16	LastDelay	0.0672281	67228.1	1	3
1.66723	18	257	16	FullDelay	0.0672281	67228.1	1	3
