Time	Node	Type	Packets	
1	60	CacheHits	0
1	60	CacheMisses	26
1	61	CacheHits	0
1	61	CacheMisses	9
1	62	CacheHits	0
1	62	CacheMisses	9
1	63	CacheHits	0
1	63	CacheMisses	9
2	60	CacheHits	0
2	60	CacheMisses	19
2	61	CacheHits	0
2	61	CacheMisses	10
2	62	CacheHits	0
2	62	CacheMisses	10
2	63	CacheHits	0
2	63	CacheMisses	10
3	60	CacheHits	0
3	60	CacheMisses	23
3	61	CacheHits	0
3	61	CacheMisses	8
3	62	CacheHits	0
3	62	CacheMisses	8
3	63	CacheHits	0
3	63	CacheMisses	8
4	60	CacheHits	4
4	60	CacheMisses	14
4	61	CacheHits	0
4	61	CacheMisses	4
4	62	CacheHits	0
4	62	CacheMisses	4
4	63	CacheHits	0
4	63	CacheMisses	4
5	60	CacheHits	22
5	60	CacheMisses	19
5	61	CacheHits	0
5	61	CacheMisses	13
5	62	CacheHits	0
5	62	CacheMisses	13
5	63	CacheHits	0
5	63	CacheMisses	3
6	60	CacheHits	19
6	60	CacheMisses	13
6	61	CacheHits	2
6	61	CacheMisses	15
6	62	CacheHits	0
6	62	CacheMisses	13
6	63	CacheHits	0
6	63	CacheMisses	6
7	60	CacheHits	7
7	60	CacheMisses	10
7	61	CacheHits	8
7	61	CacheMisses	6
7	62	CacheHits	0
7	62	CacheMisses	4
7	63	CacheHits	0
7	63	CacheMisses	4
8	60	CacheHits	16
8	60	CacheMisses	5
8	61	CacheHits	2
8	61	CacheMisses	12
8	62	CacheHits	5
8	62	CacheMisses	4
8	63	CacheHits	0
8	63	CacheMisses	9
9	60	CacheHits	14
9	60	CacheMisses	9
9	61	CacheHits	3
9	61	CacheMisses	15
9	62	CacheHits	7
9	62	CacheMisses	8
9	63	CacheHits	0
9	63	CacheMisses	15
10	60	CacheHits	22
10	60	CacheMisses	7
10	61	CacheHits	5
10	61	CacheMisses	17
10	62	CacheHits	0
10	62	CacheMisses	15
10	63	CacheHits	0
10	63	CacheMisses	15
11	60	CacheHits	19
11	60	CacheMisses	4
11	61	CacheHits	14
11	61	CacheMisses	10
11	62	CacheHits	0
11	62	CacheMisses	8
11	63	CacheHits	0
11	63	CacheMisses	8
12	60	CacheHits	6
12	60	CacheMisses	2
12	61	CacheHits	16
12	61	CacheMisses	3
12	62	CacheHits	0
12	62	CacheMisses	1
12	63	CacheHits	0
12	63	CacheMisses	1
13	60	CacheHits	16
13	60	CacheMisses	1
13	61	CacheHits	9
13	61	CacheMisses	7
13	62	CacheHits	0
13	62	CacheMisses	1
13	63	CacheHits	0
13	63	CacheMisses	1
14	60	CacheHits	15
14	60	CacheMisses	8
14	61	CacheHits	15
14	61	CacheMisses	15
14	62	CacheHits	4
14	62	CacheMisses	12
14	63	CacheHits	0
14	63	CacheMisses	10
15	60	CacheHits	9
15	60	CacheMisses	5
15	61	CacheHits	10
15	61	CacheMisses	11
15	62	CacheHits	1
15	62	CacheMisses	11
15	63	CacheHits	0
15	63	CacheMisses	12
16	60	CacheHits	0
16	60	CacheMisses	0
16	61	CacheHits	6
16	61	CacheMisses	0
16	62	CacheHits	0
16	62	CacheMisses	2
16	63	CacheHits	0
16	63	CacheMisses	2
17	60	CacheHits	0
17	60	CacheMisses	4
17	61	CacheHits	1
17	61	CacheMisses	4
17	62	CacheHits	0
17	62	CacheMisses	4
17	63	CacheHits	0
17	63	CacheMisses	4
18	60	CacheHits	0
18	60	CacheMisses	1
18	61	CacheHits	0
18	61	CacheMisses	1
18	62	CacheHits	0
18	62	CacheMisses	1
18	63	CacheHits	0
18	63	CacheMisses	1
19	60	CacheHits	10
19	60	CacheMisses	0
19	61	CacheHits	5
19	61	CacheMisses	2
19	62	CacheHits	2
19	62	CacheMisses	4
19	63	CacheHits	0
19	63	CacheMisses	0
20	60	CacheHits	12
20	60	CacheMisses	2
20	61	CacheHits	2
20	61	CacheMisses	2
20	62	CacheHits	3
20	62	CacheMisses	2
20	63	CacheHits	0
20	63	CacheMisses	1
21	60	CacheHits	14
21	60	CacheMisses	2
21	61	CacheHits	7
21	61	CacheMisses	2
21	62	CacheHits	5
21	62	CacheMisses	7
21	63	CacheHits	0
21	63	CacheMisses	2
22	60	CacheHits	17
22	60	CacheMisses	3
22	61	CacheHits	9
22	61	CacheMisses	5
22	62	CacheHits	11
22	62	CacheMisses	10
22	63	CacheHits	0
22	63	CacheMisses	3
23	60	CacheHits	14
23	60	CacheMisses	3
23	61	CacheHits	21
23	61	CacheMisses	4
23	62	CacheHits	21
23	62	CacheMisses	5
23	63	CacheHits	0
23	63	CacheMisses	0
24	60	CacheHits	11
24	60	CacheMisses	1
24	61	CacheHits	13
24	61	CacheMisses	3
24	62	CacheHits	24
24	62	CacheMisses	5
24	63	CacheHits	0
24	63	CacheMisses	1
25	60	CacheHits	0
25	60	CacheMisses	0
25	61	CacheHits	3
25	61	CacheMisses	0
25	62	CacheHits	17
25	62	CacheMisses	3
25	63	CacheHits	0
25	63	CacheMisses	1
26	60	CacheHits	1
26	60	CacheMisses	0
26	61	CacheHits	1
26	61	CacheMisses	1
26	62	CacheHits	18
26	62	CacheMisses	2
26	63	CacheHits	0
26	63	CacheMisses	0
27	60	CacheHits	0
27	60	CacheMisses	1
27	61	CacheHits	3
27	61	CacheMisses	1
27	62	CacheHits	15
27	62	CacheMisses	4
27	63	CacheHits	0
27	63	CacheMisses	1
28	60	CacheHits	0
28	60	CacheMisses	2
28	61	CacheHits	14
28	61	CacheMisses	2
28	62	CacheHits	10
28	62	CacheMisses	6
28	63	CacheHits	0
28	63	CacheMisses	2
29	60	CacheHits	1
29	60	CacheMisses	1
29	61	CacheHits	9
29	61	CacheMisses	2
29	62	CacheHits	7
29	62	CacheMisses	4
29	63	CacheHits	0
29	63	CacheMisses	1
30	60	CacheHits	1
30	60	CacheMisses	1
30	61	CacheHits	0
30	61	CacheMisses	2
30	62	CacheHits	4
30	62	CacheMisses	2
30	63	CacheHits	0
30	63	CacheMisses	1
31	60	CacheHits	4
31	60	CacheMisses	1
31	61	CacheHits	0
31	61	CacheMisses	1
31	62	CacheHits	4
31	62	CacheMisses	1
31	63	CacheHits	0
31	63	CacheMisses	1
32	60	CacheHits	4
32	60	CacheMisses	0
32	61	CacheHits	0
32	61	CacheMisses	0
32	62	CacheHits	0
32	62	CacheMisses	0
32	63	CacheHits	0
32	63	CacheMisses	0
33	60	CacheHits	4
33	60	CacheMisses	1
33	61	CacheHits	1
33	61	CacheMisses	1
33	62	CacheHits	3
33	62	CacheMisses	2
33	63	CacheHits	0
33	63	CacheMisses	1
34	60	CacheHits	0
34	60	CacheMisses	1
34	61	CacheHits	0
34	61	CacheMisses	1
34	62	CacheHits	0
34	62	CacheMisses	1
34	63	CacheHits	0
34	63	CacheMisses	1
35	60	CacheHits	18
35	60	CacheMisses	0
35	61	CacheHits	0
35	61	CacheMisses	0
35	62	CacheHits	7
35	62	CacheMisses	0
35	63	CacheHits	6
35	63	CacheMisses	6
36	60	CacheHits	9
36	60	CacheMisses	1
36	61	CacheHits	0
36	61	CacheMisses	1
36	62	CacheHits	3
36	62	CacheMisses	1
36	63	CacheHits	3
36	63	CacheMisses	2
37	60	CacheHits	6
37	60	CacheMisses	2
37	61	CacheHits	0
37	61	CacheMisses	2
37	62	CacheHits	8
37	62	CacheMisses	2
37	63	CacheHits	0
37	63	CacheMisses	2
38	60	CacheHits	10
38	60	CacheMisses	1
38	61	CacheHits	0
38	61	CacheMisses	1
38	62	CacheHits	14
38	62	CacheMisses	1
38	63	CacheHits	0
38	63	CacheMisses	1
39	60	CacheHits	9
39	60	CacheMisses	2
39	61	CacheHits	0
39	61	CacheMisses	2
39	62	CacheHits	1
39	62	CacheMisses	2
39	63	CacheHits	0
39	63	CacheMisses	2
40	60	CacheHits	3
40	60	CacheMisses	0
40	61	CacheHits	0
40	61	CacheMisses	0
40	62	CacheHits	3
40	62	CacheMisses	0
40	63	CacheHits	0
40	63	CacheMisses	0
41	60	CacheHits	1
41	60	CacheMisses	1
41	61	CacheHits	2
41	61	CacheMisses	1
41	62	CacheHits	2
41	62	CacheMisses	3
41	63	CacheHits	0
41	63	CacheMisses	2
42	60	CacheHits	0
42	60	CacheMisses	0
42	61	CacheHits	0
42	61	CacheMisses	0
42	62	CacheHits	11
42	62	CacheMisses	0
42	63	CacheHits	0
42	63	CacheMisses	0
43	60	CacheHits	4
43	60	CacheMisses	1
43	61	CacheHits	0
43	61	CacheMisses	1
43	62	CacheHits	12
43	62	CacheMisses	1
43	63	CacheHits	2
43	63	CacheMisses	3
44	60	CacheHits	8
44	60	CacheMisses	0
44	61	CacheHits	0
44	61	CacheMisses	0
44	62	CacheHits	4
44	62	CacheMisses	0
44	63	CacheHits	6
44	63	CacheMisses	4
45	60	CacheHits	12
45	60	CacheMisses	0
45	61	CacheHits	0
45	61	CacheMisses	0
45	62	CacheHits	1
45	62	CacheMisses	0
45	63	CacheHits	0
45	63	CacheMisses	0
46	60	CacheHits	4
46	60	CacheMisses	0
46	61	CacheHits	3
46	61	CacheMisses	0
46	62	CacheHits	0
46	62	CacheMisses	0
46	63	CacheHits	0
46	63	CacheMisses	0
47	60	CacheHits	10
47	60	CacheMisses	0
47	61	CacheHits	11
47	61	CacheMisses	0
47	62	CacheHits	0
47	62	CacheMisses	0
47	63	CacheHits	0
47	63	CacheMisses	0
48	60	CacheHits	7
48	60	CacheMisses	0
48	61	CacheHits	19
48	61	CacheMisses	0
48	62	CacheHits	3
48	62	CacheMisses	0
48	63	CacheHits	0
48	63	CacheMisses	0
49	60	CacheHits	8
49	60	CacheMisses	0
49	61	CacheHits	17
49	61	CacheMisses	0
49	62	CacheHits	15
49	62	CacheMisses	0
49	63	CacheHits	0
49	63	CacheMisses	0
50	60	CacheHits	5
50	60	CacheMisses	0
50	61	CacheHits	8
50	61	CacheMisses	0
50	62	CacheHits	11
50	62	CacheMisses	0
50	63	CacheHits	0
50	63	CacheMisses	0
51	60	CacheHits	0
51	60	CacheMisses	0
51	61	CacheHits	5
51	61	CacheMisses	0
51	62	CacheHits	8
51	62	CacheMisses	0
51	63	CacheHits	0
51	63	CacheMisses	0
52	60	CacheHits	0
52	60	CacheMisses	0
52	61	CacheHits	4
52	61	CacheMisses	0
52	62	CacheHits	4
